Year;abstract
2007;the most commonly used and discussed videoconferencing mode for teaching languages from a distance is two-way simultaneous or point-to-point videoconferencing. applications of multipoint videoconferencing to language classes however are not very common. this article aims to fill that gap by presenting the technical and pedagogical dimensions of a pilot project in teaching an introductory course in turkish (102) via multipoint videoconferencing which was conducted among students at syracuse university cornell university and colgate university. this study shows how multipoint videoconferencing works for language classes and gives some pedagogical pointers to language instructors who plan to use such a system for the first time.
2007;in this paper a fuzzy controller for an inverted pendulum system is presented in two stages. these stages are: investigation of fuzzy control system modeling methods and solution of the inverted pendulum problem by using java programming with applets for internet based control education. in the first stage fuzzy modeling and fuzzy control system investigation java programming language classes and multithreading were introduced. in the second stage specifically simulation of the inverted pendulum problem was developed with java applets and the simulation results were given. also some stability concepts are introduced. (c) 2007 elsevier ltd. all rights reserved.
2007;problem statement: entry to turkish higher education is highly competitive. high school graduates gain access to universities based upon their performance on the student selection examination (sse) which about two million students take each year. only 10% of these students are placed in undergraduate degree programs (excluding distance education programs). students commonly start preparing for the exam during their elementary school years. the preparation often includes attendance to private prepatory schools (dershaneler). preparation becomes highly stressful particularly during high school years. purpose: the purpose of this to investigate depression test anxiety and social support of students preparing for the sse and in so doing drawing attention to issues faced by these students. methods: a total of 844 students attending to private preparatory schools in the capital city of ankara (56% females 44% males) participated in this study. beck depression inventory (bdi-1978 formu) test anxiety inventory (tae) the perceived social support scale-revised (psss-r) and personal information form (developed by the researcher) were used for data collection. individuals with scores of 17 or higher on the bdi were considered depressed 13-16 mildly depressed and those lower than 12 were regarded as not depressed. scores of 46 or higher on the test anxiety inventory were considered high level of test anxiety. findings: data analyses showed that 36% of students were depressed and 42% had high degree of test anxiety. depression was more prevalent among females students with lower levels of achievement 11(th) graders and high school graduates. level of depression did not differ significantly according to the kind of high school attended. results also showed that depressed students scored higher on test anxiety than non-depressed ones. on the contrary depressed students reported lower levels of support from family friends and teachers. recommendations: greater prevalence of depression among females is worth further examination. high schools should develop psycho-educational programs for teachers and families in order to enhance support for students preparing for the sse. teachers and families can be informed about needs of students with lower achievement level. interventions targeting students' test anxiety might also alleviate depressive symptoms and improve their achievement levels. school guidance programs and particularly counseling services can be enriched. future research can explore other aspects of these students' functioning including social and developmental issues studies could also focus on family dynamics of students with depression and anxiety.
2007;the main purpose of this paper is to explore and discuss the main characteristics of project-based online learning (pbol) to promote learners' critical learning skills through reusable learning objects (rlos) from global online resources. based on the main purpose of this study and the concerns the key research inquiries are: (1) how does a pbol environment improve the learners' critical thinking skills via rlos? (2) what are the patterns of the learners' critical thinking skills in a pbol environment when they focus on building and delivering rlos? and (3) what are the learning impacts and communicational outcomes of a pbol environment on the learners' critical thinking skills when they work with rlos? this is a qualitative case study that utilizes both qualitative and quantitative data to provide detailed information to the researcher for the data collection. the research site was the designing and delivering an e-learning environment graduate course at the department of distance education of social sciences institute in the large urban and government-based university in the spring semester 2004. there were totally i i learners (three of them were men and the rest of them were women) in this course. (c) 2006 elsevier ltd. all rights reserved.
2008;the purpose of the study is to investigate some of the factors that contribute to satisfaction of participants in an online information technologies certificate program (itcp). the program includes eight courses and lasts four semesters. the sample consisted of 30 participants who enrolled to the program and 8 instructors who gave the courses in this program in 2004-2005. the data was collected through both qualitative and quantitative methods. an online questionnaire was used to gather data on participants' satisfaction about the program semi-structured interviews were conducted with both the participants and the instructors to analyze the factors that contribute to satisfaction in the program and asynchronous and synchronous communication transcripts were examined to support the findings. descriptive statistics were reported upon the participants' satisfaction in regard to learner-learner interaction learner-instructor interaction course structure institutional support and flexibility. a repeated measure analysis test was utilized to see the changes in the participants' satisfaction throughout this online program based on semester one two three and four. the results of the study showed that even though the participants' overall satisfaction was generally positive it decreased significantly toward the final semesters of the program. the findings highlighted some of the critical issues such as learning community formation through interaction well structured and guided project or problem-based group activities considering instructional design and cognitive principles in the design of the program and flexibility in time and selection of the courses that should be taken into account in designing online programs.
2008;the rapid growth in the use of learning technologies particularly the use of the web based technologies and communications have offered educators with many more opportunities to investigate the most suitable learning environments for their students' learning styles. the purpose of the present study was to examine the students' learning styles and their views on blended learning. the study was conducted with thirty-four students at hacettepe university ankara turkey. the two instruments were the questionnaire designed to identify students' views on blended learning and kolb's learning style inventory (lsi) to measure students' learning styles. additional data were gathered from achievement scores of students and records demonstrate students' participation to e - learning environment. results revealed that students' views on blended learning process such as ease of use of the web environment evaluation face to face environment etc. differ according to their learning styles. results also revealed that the highest mean score corresponds to face to face aspect of the process when students' evaluation concerning the implementation is taken to consideration. the overall findings showed no significant differences between students' achievement level according to their learning styles.
2008;in the current study the distance education student satisfaction model estimated as a structural equation model is proposed to understand better what predicts student satisfaction from online learning environments. in the present study the following variables are employed based on the technology acceptance model (tam) (davis bagozzi & warshaw 1989) and literature: computer knowledge flexibility of distance education usefulness of distance education and distance education satisfaction. results suggest that as long as students have the skills to use online tools and perceive that distance education is a useful and flexible way of learning communicating and sharing their enjoyment from online instruction will be promoted. ultimately this satisfaction may lead to higher levels of engagement learning and success in the distance education setting. data collected from 195 undergraduate students are analyzed using statistical package for the social sciences and analysis of moment structures statistical software. implications of the findings of the present study are crucial for instructors practitioners and institutions planning to offer or currently engaged in offering distance education courses.
2008;problem statement: continuous change and improvements for the quality of organizational development communication flow and knowledge sharing are crucial within institutions. recent studies have paid a great deal of attention to the importance of learning organisations and emphasize distance education practices as an innovative strategy. this study fills a gap in the literature by using a comparative study to examine the distance education institutes as learning organisations. the study is significant as it compares the performance of distance education institutes as learning organizations. it also helps to identify quality improvements of learning organisations and provides insights to evaluate the integration of sharing learning in higher education practices within different cultural contexts. purpose of the study: the purpose of the study is to investigate the comparison between the performances of the distance education institutes in north cyprus and the uk higher education institutions. these institutes' performances as learning organizations give a competitive advantage to their higher education system. methods: the qualitative research method including in-depth interviews researcher observations and self-reports were used to examine these institutes. data were then analyzed thematically and triangulated. the participants from north cyprus and uk were purposefully selected as a sample on a voluntary basis. the multiple data collection techniques were reviewed by experts from turkey uk and united states and piloted in order to increase the credibility of the research. findings and results: findings revealed that higher education institutions need to use distance education practices as an innovative strategy for continuous improvement. in addition findings show that the distance education institute in the uk performs better as a learning organization than the distance education institute in north cyprus which has limited infrastructure and lacks a collective vision. conclusions and recommendations: the research findings suggest that developing a learning organization with distance education practices provides an opportunity for the higher education system to extend its influence on external and multicultural environments. there is also an increasing need to provide strategic planning and evaluation of its effectiveness for the development of distance education institutes as learning organizations. in addition to the two cases examined other comparisons could also be made considering the cultural dimensions. furthermore social interaction such as dialogue and inquiry can be explored using in-depth investigation to enrich other dimensions of learning organizations and improve organizational performance.
2008;this study focuses on a synchronous e-class project which was developed to increase the effectiveness of a second year advanced reading course within the distance english language teacher training (deltt) program in turkey. the aim of the study is to explore the perceptions of learners who participated in the e-class application and the impact of it on their success in their studies. from 675 second year learners in the deltt program 26 were selected as the subjects of this study. the perceptions of the e-class participants were gathered from diaries they kept for each e-class session. three main categories of perceptions emerged from the analysis of these diaries. these are learner attitudes about the application of the e-class about group work activities used and about various technological aspects. the conclusion drawn from the data is that in spite of some concerns turkish learners perceived the e-class to be a very efficient way of conducting reading classes. a statistical analysis of exam scores supported participant perceptions and revealed that an e-class application can be as effective as the traditional face-to-face classroom mode. the findings suggest that an e-class could be used to increase the effectiveness of the distance teacher training program and has further implications for training future teachers.
2008;quality function deployment (qfd) is a product/service design and improvement tool used to achieve higher customer satisfaction. basically qfd is a transformation of vague and imprecise customer needs into measurable product/service attributes. this article integrates compromise programming based goal programming into the qfd process to determine to what extent the product/service attributes should be improved. the fuzzy set theory is applied to the model to deal with the imprecise nature of data. differing from existing qfd applications our proposed methodology applies analytic network process (anp) to evaluate the inner dependencies among customer needs among product attributes and also the relationships between them. furthermore it determines the best product/service in the market as the goal employing compromise programming. finally the methodology ends with the goal programming method which consists of this predefined goal and the product/service provider's budget limitation. the aim is to improve the performance values of the selected product/service according to the best one. a real-world application on e-learning products provided by the higher education institutions in turkey illustrates the applicability of our proposed methodology.
2008;remote laboratories are technologies that aim to increase the effectiveness of educational programs. european remote radio laboratory (errl) is an e-learning project for students teachers and technicians who will use very important devices of a radio frequency laboratory remotely. as a solution we have developed an e-learning system which aims to support the errl learners while studying on how to use equipments in the system. the system is developed according to the electronic performance support system (epss) approach. an epss is a computer-based well-structured system which improves the performance of individuals. it is an electronic infrastructure that contains stores and distributes personal (individual) or corporate knowledge to enable people to reach necessary levels of performance in the fastest possible time and with minimum teaching support of other people. this paper discusses how the content for such a system is developed and how this content is interactively used in the epss platform. the technical details of the developed epss are also discussed in this study. we believe that this paper will help instructional system designers for designing different alternatives to improve learners' performance.
2008;in this research the articles concerning interaction in the internet-based distance learning which were published in three most outstanding journals in 2003 2004 and until march of 2005 have been examined and classified. the research provides opportunities for discussing topics methods and some other variables. it is thought that the research will be useful for reviewing current researching trends concerning interaction and displaying what kinds of potential researches about this topic can be done and bringing up the deficiencies of the field.
2008;this exploratory study tests the assertion that instructional strategies that match field-dependence status of students are most effective. the study conducted with 12 graduate students registered in a graduate level online course. an online version of the psychological differentiation inventory was used to measure the field-dependence status of students. students' perceived learning outcomes their effort and involvement and level of interaction that they perceived in online course module were measured through an online questionnaire. results suggested that matches between students' learning styles and instructional strategies did not affect learner perception of their own learning outcomes level of effort and involvement and level of interactions in the course. data also indicated that no single instructional strategy among three instructional strategies tested emerged as superior for high and low field-dependent online students. (c) 2007 elsevier ltd. all rights reserved.
2008;japan and korea have highly developed information and communications technology infrastructures and have recently reformed their higher education systems and encouraged e-transformation. however japanese universities have not embraced e-learning as wholeheartedly as their korean counterparts. the paper concludes that this is due to governmental and institutional failure to develop a cogent vision and strategic plan for e-learning to recognise the need for fundamental shifts in organisational cultures and structures and pedagogy and to provide training funding recognition and reward for such development. it attributes this to differences in the cultural perspectives values and customs of the two countries' policy makers managers and faculty members. the findings are seen to hold important lessons for other countries embarking on e-transformation.
2008;there are a significant number of studies in the literature stressing the important role of teacher immediacy behaviors on learners' perceptions of social presence and satisfaction in open and distance learning environments. yet those studies were conducted in different open and distance education institutions than the current example of which unique characteristics and applications are commonly recognized in the field. unlike others the current study examined the effects of both verbal and nonverbal instructor immediacy behaviors on learners' perceptions of social presence and satisfaction in face-to-face academic tutoring services provided in open and distance learning environments. results indicated a moderate and positive relationship between the control variable and outcome variables.
2008;using the model for learning and teaching activities (molta) a new technology enhanced hybrid instruction was designed developed and implemented. the effectiveness of the hybrid instruction in regard to students' achievement knowledge retention attitudes towards the subject and course satisfaction was evaluated in comparison to traditional classroom instruction. experimental study with pre-test post-test control group design was carried out. the sample of the study consisted of 50 university students enrolled in computer networks and communication course. the control and experimental groups composed of 24 and 26 students respectively and the experiment lasted 14 weeks. the findings of the study indicated no significant difference between the hybrid course and the traditional course in students' achievement knowledge retention satisfaction and attitude. (c) 2007 elsevier ltd. all rights reserved.
2008;as part of a needs analysis preceding the development of an e-learning platform on infection prevention european intensive care unit (icu) nurses were subjected to a knowledge test on evidence-based guidelines for preventing ventilator-associated pneumonia (vap). a validated multiple-choice questionnaire was distributed to 22 european countries between october 2006 and march 2007. demographics included nationality gender icu experience number of icu beds and acquisition of a specialised degree in intensive care. we collected 3329 questionnaires (response rate 69.1%). the average score was 45.1%. fifty-five percent of respondents knew that the oral route is recommended for intubation 35% knew that ventilator circuits should be changed for each new patient 38% knew that heat and moisture exchangers were the recommended humidifier type but only 21% knew that these should be changed once weekly closed suctioning systems were recommended by 46% and 18% knew that these must be changed for each new patient only 51% and 57% respectively recognised that subglottic drainage and kinetic beds reduce vap incidence. most (85%) knew that semi-recumbent positioning prevents vap. professional seniority and number of icu beds were shown to be independently associated with better test scores. further research may determine whether low scores are related to a lack of knowledge deficiencies in training differences in what is regarded as good practice and/or a lack of consistent policy. (c) 2008 the hospital infection society. published by elsevier ltd. all rights reserved.
2009;a distributed online curriculum and courseware development model (donc2) is developed and tested in this study. courseware development teams which may work in different institutions who need to develop high quality reduced cost on time products will be the users of donc2. the related features from the disciplines of instructional design and software engineering were combined. the research is conducted as a collective case study including four cases with distinctive characteristics to reveal the several practices in online curriculum and courseware development work. the donc2 development model was proposed using the results gathered from the investigated cases and a literature survey. the model uses the iterative incremental and agile software development approaches in order to overcome the disadvantages of other linear development approaches. this enables building releasable yet good quality products in short time periods. furthermore continuous communication evaluation and feedback as well as good project management and readiness to adapt to changes are integrated as the essential characteristics. donc2 is different then previous linear and non-adaptive models in all of these aspects. the model was tested with one of the cases while being improved with success. it was applied as a development model for scheduling of the courseware development project in the last case and considered as helpful for the success of the project by the project team members.
2009;a number of studies emphasized the need to capture learners' interaction patterns in order to personalize their learning process as they study through learning objects. in education context learning materials are designed based on pre-determined expectations and learners are evaluated to what extent they master these expectations. representation of these expectations in learning and assessment objects on the other hand is a new challenge for e-learner providers. in order to address this challenge poleonto (personlized ontological learning environment) proposes a new method to separate these expectations by determining domain concepts (conceptnet) and cognitive skills (cogskillnet) for expectations via creating cognitive skill and concept ontology for k-12 education. in this paper we report only the development and design processes of cogskillnet within poleonto environment and we further discuss how cogskillnet can be modeled in the e-learning domain. we also describe how ontological representations play a role in creating personalized navigational guidance for allowing visualization of cognitive skills and providing useful navigational feedback to learners.
2009;in this study a model and software package called webcoach which operates as a learning content management system (lcms) has been developed. it is a web based tutoring system that uses knowledge management techniques to convert the tacit knowledge of experienced lecturers and experts into explicit knowledge. the instructional contents quizzes and assessments glossary of terms for information security course were prepared compiled and organized by this tutoring system. they can be used and reused as learning objects to support learning. webcoach fulfils the requirements for e-learning standards. it has been applied at istanbul commerce university within the information security course. course grades and student questionnaires for two groups of undergraduate computer engineering students were analysed in the course of this study. the control group did not have access of webcoach while the same course was taught via webcoach to the experimental group. the teaching methodology of the control group was based on a classical narrative model. it was observed that the students using webcoach achieved better results compared with the control group students for example 86% of the students were satisfied with the webcoach system.
2009;distance education is used for teacher training at different levels and fields in turkey. launched in the 2000-01 academic year and still applied by anadolu university the preschool teacher training program is one of those programs offered by distance education. this study aims to evaluate anadolu university's preschool teacher training program in turkey by obtaining student opinions. a total of 1026 senior students enrolled in the preschool education major at the open education faculty of anadolu university participated in the survey. a questionnaire to determine the opinions of students about the program was used as a means of data collection. means (x) and standard deviations (sd) were employed to analyze the survey data. the results showed that although the teacher candidates study at a good level they do not have a good record of watching the television programs. the results also revealed that the opinions of teacher candidates about the textbooks television programs teaching practices and academic assistance services are positive.
2009;the international literature provides little in-depth analysis of distance education and e-learning activities achievements and challenges in turkish higher education other than the country's mega-university anadolu. this paper examines the development of and lessons to be learned from such undertakings by three pioneers - two regular state universities ankara university and sakarya university and the private non-profit turkish-kazakhstan ahmet yesevi university. drawing on the collective experience of the authors the paper reaches some overall conclusions about embarking on distance education and e-learning which may apply in other turkish universities and similar economies.
2009;the main purpose of the study is to investigate turkish undergraduate students' perceptions of the web as a learning tool and to analyze whether their perceptions differ significantly based on gender socio-economic background and web experience. data obtained from 722 undergraduate students (331 males and 391 females) were used in the analyses. the findings indicated significant differences based on gender socio-economic background and web experience. the students from higher socio-economic backgrounds indicated significantly higher attitude scores on the self-efficacy subscale of the web attitude scale. similarly the male students indicated significantly higher scores on the self-efficacy subscale than the females. also the students with higher web experience in terms of usage frequency indicated higher scores on all subscales (i.e. self-efficacy affective usefulness web-based learning). moreover the two-way anova results indicated that the student's pc ownership has significant main effects on their web attitudes and on the usefulness self-efficacy and affective subscales.
2009;this study aimed to investigate the underlying components constituting the extended version of the ict indicators measurement scale (ictims) which was developed in 2007 and extended in the current study through the addition of 34 items. new items addressing successful ict integration at education faculties were identified through the examination of the recent literature and expert panels. the tool was administered to 2515 senior students in six education faculties in turkey which were randomly selected from hierarchically ordered clusters. the exploratory factor analysis eliminated 14 of 75 questions in the scale and identified 11 factors accounting for 64.02% of the total variance. the internal consistency coefficient was also high (alpha = .956). factors extracted were e-learning infrastructure teaching-learning methods policy special education health learning communities ease of use e-interaction technical assistance and access. interrelationships among factors were provided along with implications and suggestions for further research.
2009;in like manner as conventional education and teaching approaches distance education tends to model the same procedures. indeed formerly enriched on printed material served as a primary source. however thanks to the developments in technology and evolution in education computerised information has made inroads in distance education programmes. moreover the radio and television also are fullfil the need of this particular program. at anadolu university's open education faculty's tv production centers (educational tv-etv) programs are produced consistent with the faculties adapted open education system. since 1982 more than 5000 educational programs have been produced at the center. in this study the views of employees at anadolu university's open education faculty's tv production center's organizational commitment level are analysed according to affective continuance normative commitment perspectives within the framework of meyer and allen model. in this study an account of the tv production center is provided. employee's commitment levels are also taken into consideration. needless to say that to maintain higher success in practices commitment to organization is very important. hence to assess the level of commitment to the organization surveys were distributed to employees. the organizational commitment scale provided by meyr and allen was also implemented to monitor the results. in the study organizational commitment within affective commitment continuance commitment and normative commitment is analyzed. the survey was applied to 134 employees of tv production center and also face-to-face interviews were conducted. in the second stage spss program was used for necessary analyses according to the demographics of employees (gender age and marital status number of children working duration working unit title and education) frequency test t-test and anova test were applied.
2009;the purpose of this study is to identify the viewpoints of the candidates of physical education and sports teachers and sports managers and to examine these viewpoints with respect to sex class accommodation of the family monthly income of the family computer and internet facilities. survey method was used to carry out the study. the sample of the study consisted of the students attending department of physical education and sports at educational faculty and sports management department of physical education and sports high school in sakarya university. in order to gather data a questionnaire was developed by the researcher and it was applied to 330 students. several statistical techniques such as frequency percentage t-test and anova were used to analyze the data depending on the qualities of the variables. the results of the study indicated that the students think that by the implementation of distance education global education and equality of opportunity would be succeeded. they also think they should have general skills about computer hardware software and internet usage in order to take the advantage of distance education. according to the students providing distance education in practical lessons of the physical education field is almost impossible because the compensation of the failures in physical movements on time is not possible by distance education.
